name;inn;phone;email;web;employees
ООО "4 ПИКСЕЛЯ +";7708250280;+74951811619;"ann@4px.ru; m@4px.ru; docs@4px.ru";http://4px.ru;22
ООО "АДЛАБС.РУ";5010031832;"+74962190455; +74957755145";olgak@adlabs.ru;;54
ООО "АДВЕНТУМ ОТ";7714346014;"+79509274843; +74959808016; +74993221474; +74959988661";"salnikova@textime.ru; adventum.ot@list.ru; info@adventumtech.ru; kuznetzova@textime.ru";http://adventum.ru;25
ФОНД "ФРОНТОВОЕ БРАТСТВО";4000024827;;frontovoe.bratstvo@yandex.ru;;;
ООО "АМЕРИЧИП";7715865774;"+74999628380; +74956406829; +79169000272; +74959336933";"re@americhip.ru; info@americhip.ru";http://americhip.ru;11
АО "АРЕНА-2000";7606028688;"+74852407118; +74852407094; +74852407119; +79806576962; +74852407023";"marketiing@arena.yar.ru; sekretar@arena.yar.ru; maya@arena.yar.ru; adm@arena.yar.ru; butikova@arena.yar.ru";http://arena.yar.ru;121
ООО "ДД ВБ";7709702027;"+79037240979; +74959173117";info@directdesign.ru;http://directdesign.ru;1
ООО "ЭВЕНТ ЛАБОРАТОРИЯ";7718820108;;;;;
ООО "ЭВЕНТ ПРО";5003077032;"+74959596922; +74991246411; +79162859248; +74954508827";eventpro@mail.ru;http://avto-shop.su;12
ООО "ЭВЕНТУМ-ПРЕМО";6501245274;;;;;
АО "Ф.Б.С.";9724089112;+79037121152;fbs_2013@mail.ru;;;
ООО "ХАВАС МЕДИА";7704205737;"+74957885329; +74959337570; +74953997570";"gd@havas-media.ru; reception@mpg-mediaplanning.ru";http://havas-se.com;74
ООО "ИМАГА";7816759363;"+79219500577; +79112444401";89213050405@yandex.ru;;;
ООО "ИМАР СТРОЙ";7722495845;+79036628178;;;;
АО "МАК";1655442795;;;;2
ООО "АРМИ-МАРКЕТИНГ БИЗНЕС";7714856110;"+74952586915; +74952586914";mail@armi-marketing.com;https://armi-marketing.com;90
ООО "МАРВЕЛОУС-АКВА";7452120049;"+79000256639; +79517850606; +73519328539; +79525059393";;http://marvelous-aqva.ru;2
ООО "МАСТЕР ИН СТРАНА";7813604450;"+74952550607; +78123131060";;http://master-in.ru;9
ООО "МСС";9703231294;"+79031173050; +79042755458; +79266111585";;;;
ООО "М-ПАРК";9705199462;"+74953089474; +79651173837";"m.lobzina@book-team.ru; sales@mosaic-park.ru; info@mosaic-park.ru";http://мозаика-парк.рф;16
ООО "ОНИКС. ОТР";9706015870;+79096734364;"norvus8@gmail.com; kuptsova2008@yandex.ru";;3
ООО "МЕДИЦИНСКИЙ КИСЛОРОД";2631041796;;;;6
ООО "ПР";6163229775;;"344000b@mail.ru; 316550@mail.ru";;1
ООО "ПРОМО.РУ-ИНТЕРЭКТИВ";7709336148;;;;;
ООО "ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ВОСТОК-7";2511125050;;rachenkov-au@agro-home.ru;;2
АО "ПРТК";0716011130;;;;;
ООО "СЗ БЦ АПСАЙД ОСТАНКИНО";9715494040;"+79055951555; +79207904020";"s.komarova@upside.ru; st@waypark.ru";;;
ООО "БЮРО 1440";7707446530;+74954453301;"info@1440.space; press@1440.space";https://1440.space;1188
ООО "ВЕБПРАКТИК";6163109767;"+78007008480; +78633032039; +78632638827; +78632212520; +78632992730";"alex@webpractik.ru; info@webpractik.ru; buh@webpractik.ru";http://webpractik.ru;83
ООО "ПРОМО ГАРАНТ";7728887888;;;;;
ООО "ЗЕКСЛЕР";7725268791;+74993918112;hr@zexler.ru;http://zexler.ru;5
ООО "ИНЕЛ-ДИСПЛЕЙ";5008036720;;;https://inel-display.ru;148
ООО "КАПИБАРА";7806614270;;info@capibara-plus.ru;;1
ООО "МАРКЕТИНГ КОМПАС";5501287201;+79514144899;shilaev1984@mail.ru;;;
АО "МИХАЙЛОВ И ПАРТНЕРЫ. УПРАВЛЕНИЕ СТРАТЕГИЧЕСКИМИ КОММУНИКАЦИЯМИ";7702131247;"+74959563973; +74959563972";"vanina@m-p.ru; kriventsova@m-p.ru; moiseeva@mikh-parth.ru; secretariat@m-p.ru; tenderetp@m-p.ru";http://m-p.ru;76
ООО "ПИКСЕЛЬ ПЛЮС";7715809321;"+74959895311; +79266650254; +78007007965";"oleynik@pixelplus.ru; manager@pixelplus.ru";http://pixelplus.ru;16
ООО "ИА РИАЛВЕБ";7813323882;"+78122353860; +74952290161; +78123253860";"admin1.petrograd@rspb.ru; user1473@realweb.ru";http://realweb.ru;515
ЗАО "РИМ";3445035980;"+78442331081; +78442978498";"rimvolga@mail.ru; rim_v@vistcom.ru";;2
ООО "РУССМАРКЕТ";7731420204;+74951610666;sales@russ-market.ru;https://russ-market.ru;11
АО "СИМБИРСОФТ";7300044805;"+78002009924; +79867360164";;;;
ООО "ТЕКАРТ";7716973388;+79686473377;;;;
