inn;name_1;name_2;revenue_year;revenue;segment_tag;source;okved_main;employees;site;description;region;phone;email;rating_ref
1655442795;"АО ""МАК""";i-Media;2024;5300000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;69.10;2.0;https://www.i-media.ru/;маркетинговые коммуникации;Москва;+74957975599;info+et4uqw@i-media.ru;3
2511125050;"ООО ""ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ВОСТОК-7""";Pro-Trade;2024;1500000000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;10.91;2.0;;торговое продвижение;Владивосток;;rachenkov-au@agro-home.ru;2
2631041796;"ООО ""МЕДИЦИНСКИЙ КИСЛОРОД""";OXYGEN;2024;740000000;event, full_cycle, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;20.11;6.0;https://oxygen-agency.ru/;медицинское оборудование;Ставрополь;+78126790659;ask@oxygen-agency.ru;6
300044805;"АО ""СимбирСофт""";СимбирСофт;2024;2500000000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.01;;www.simbirsoft.com;разработка ПО;Ульяновск;+79675554975;request+963349@simbirsoft.com;6
3445035980;"ЗАО ""РИМ""";РИМ;2024;870900000;event, comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;68.20.2;2.0;https://www.ao-rim.ru/;промышленное производство;Волгоград;+78442331081, +78442978498;rimvolga@mail.ru, rim_v@vistcom.ru;2
4000024827;"ФОНД ""ФРОНТОВОЕ БРАТСТВО""";Affect;2024;746000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;94.99;;https://affect.ru/en/;социальные проекты;Калужская обл.;+79775637452;frontovoe.bratstvo@yandex.ru;5
5003077032;"ООО ""ЭВЕНТ ПРО""";EventPro;2024;550000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;82.30;12.0;http://avto-shop.su;организация мероприятий;Подольск;+74959596922, +74991246411, +79162859248, +74954508827;eventpro@mail.ru;7
5008036720;"ООО ""ИНЕЛ-ДИСПЛЕЙ""";ИНЕЛ-ДИСПЛЕЙ;2024;804600000;merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;31.01;148.0;https://inel-display.ru;POS-материалы;Люберцы;+74993502200;posm@inel-display.ru;3
5010031832;"ООО ""АДЛАБС.РУ""";AdLabs;2024;900000000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.09;54.0;https://www.adlabs.ru/;digital-продвижение;Домодедово;+74962190455, +74957755145;olgak@adlabs.ru;2
5501287201;"ООО ""МАРКЕТИНГ КОМПАС""";Компас-маркетинг;2024;1200000000;merch;marketing-tech.ru, dadata, checko, rusprofile, web-site;69.20;;;консалтинг, маркетинг;Омск;+79514144899;shilaev1984@mail.ru;1
6163109767;"ООО ""ВЕБПРАКТИК""";Вебпрактик;2024;335100000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;62.09;83.0;http://webpractik.ru;веб-разработка, реклама;Ростов-на-Дону;+78007008480, +78633032039, +78632638827, +78632212520, +78632992730;alex@webpractik.ru, info@webpractik.ru, buh@webpractik.ru;17
6163229775;"ООО ""ПР""";PR Partner;2024;1000000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;56.10.1;1.0;https://prpartner.ru/;пиар-услуги;Краснодар;+74996474717;sales@prpartner.ru;10
6501245274;"ООО ""ЭВЕНТУМ-ПРЕМО""";Eventum Premo;2024;865400000;event;marketing-tech.ru, dadata, checko, rusprofile, web-site;92.34;;https://eventum-premo.ru/;организация мероприятий;Москва;+74957858446;go@eventum-premo.ru;3
706015870;;ONY;2024;490700000;comm_group, brand;marketing-tech.ru, dadata, checko, rusprofile, web-site;70.10;;https://ony.ru/;коммуникационные услуги;Москва;+74951207888;hello@ony.ru;16
716011130;"АО ""ПРТК""";PRT;2024;275400000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;35.30.14;;http://prt.ru/;транспортировка грузов;Нижний Новгород;+ 7 499 434 44 03;info@prt.ru;19
7452120049;"ООО ""МАРВЕЛОУС-АКВА""";Marvelous;2024;201100000;btl;marketing-tech.ru, dadata, checko, rusprofile, web-site;46.90;2.0;http://marvelous-aqva.ru;розничная торговля;Челябинск;+79000256639, +79517850606, +73519328539, +79525059393;;11
7606028688;"АО ""АРЕНА-2000""";Arena;2024;749900000;full_cycle;marketing-tech.ru, dadata, checko, rusprofile, web-site;93.11;121.0;http://arena.yar.ru;спортивно-зрелищные мероприятия;Ярославль;+74852407118, +74852407094, +74852407119, +79806576962, +74852407023;marketiing@arena.yar.ru, sekretar@arena.yar.ru, maya@arena.yar.ru, adm@arena.yar.ru, butikova@arena.yar.ru;13
7702131247;"АО ""МИХАЙЛОВ И ПАРТНЕРЫ. УПРАВЛЕНИЕ СТРАТЕГИЧЕСКИМИ КОММУНИКАЦИЯМИ""";Михайлов и партнеры;2024;9300000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;70.22;76.0;http://m-p.ru;коммуникационные услуги;Москва;+74959563973, +74959563972;vanina@m-p.ru, kriventsova@m-p.ru, moiseeva@mikh-parth.ru, secretariat@m-p.ru, tenderetp@m-p.ru;2
7704205737;"ООО ""ХАВАС МЕДИА""";Havas Media;2024;3200000000;comm_group;marketing-tech.ru, dadata, checko, rusprofile, web-site;73.11;74.0;http://havas-se.com;медиа-планирование;Москва;+74957885329, +74959337570, +74953997570;gd@havas-media.ru, reception@mpg-mediaplanning.ru;5
