original_name;found_name;inn;okved
4 Пикселя;"ООО ""4 ПИКСЕЛЯ +""";7708250280;63.11
AdLabs;"ООО ""АДЛАБС.РУ""";5010031832;62.09
Adventum;"ООО ""АДВЕНТУМ ОТ""";7714346014;13.30
Affect;"ФОНД ""ФРОНТОВОЕ БРАТСТВО""";4000024827;94.99
AMERICHIP;"ООО ""АМЕРИЧИП""";7715865774;73.1
Arena;"АО ""АРЕНА-2000""";7606028688;93.11
DDVB;"ООО ""ДД ВБ""";7709702027;70.22
Event Lab;"ООО ""ЭВЕНТ ЛАБОРАТОРИЯ""";7718820108;93.2
EventPro;"ООО ""ЭВЕНТ ПРО""";5003077032;82.30
Eventum Premo;"ООО ""ЭВЕНТУМ-ПРЕМО""";6501245274;92.34
FBS;"АО ""Ф.Б.С.""";9724089112;64.99.11
Havas Media;"ООО ""ХАВАС МЕДИА""";7704205737;73.11
Imaga;ООО ИМАГА;7816759363;68.20
iMARS;"ООО ""ИМАР СТРОЙ""";7722495845;41.20
i-Media;"АО ""МАК""";1655442795;69.10
LBL;"АО ""КОРПОРАЦИЯ ЛБЛ""";7713117928;73.11
Marketing Arm;"ООО ""АРМИ-МАРКЕТИНГ БИЗНЕС""";7714856110;73.20.1
Marvelous;"ООО ""МАРВЕЛОУС-АКВА""";7452120049;46.90
Master In;"ООО ""МАСТЕР ИН СТРАНА""";7813604450;73.11
MediaCom;ООО МСС;9703231294;58.11
Mosaic;"ООО ""М-ПАРК""";9705199462;58.11
ONY;"ООО ""ОНИКС. ОТР""";9706015870;70.10
OXYGEN;"ООО ""МЕДИЦИНСКИЙ КИСЛОРОД""";2631041796;20.11
PR Partner;"ООО ""ПР""";6163229775;56.10.1
Promo.ru;"ООО ""ПРОМО.РУ-ИНТЕРЭКТИВ""";7709336148;
Pro-Trade;"ООО ""ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ""ВОСТОК-7""";2511125050;10.91
PRT;"АО ""ПРТК""";0716011130;35.30.14
UPSIDE;"ООО ""СЗ ""БЦ АПСАЙД ОСТАНКИНО""";9715494040;71.12.2
Бюро 144;"ООО ""БЮРО 1440""";7707446530;72.19
Вебпрактик;"ООО ""ВЕБПРАКТИК""";6163109767;62.09
Гарант-Промо;"ООО ""ПРОМО ГАРАНТ""";7728887888;82.99
ЗЕКСЛЕР;"ООО ""ЗЕКСЛЕР""";7725268791;73.11
ИНЕЛ-ДИСПЛЕЙ;"ООО ""ИНЕЛ-ДИСПЛЕЙ""";5008036720;31.01
Капибара;"ООО ""КАПИБАРА""";7806614270;46.31
Компас-маркетинг;"ООО ""МАРКЕТИНГ КОМПАС""";5501287201;69.20
Михайлов и партнеры;"АО ""МИХАЙЛОВ И ПАРТНЕРЫ. УПРАВЛЕНИЕ СТРАТЕГИЧЕСКИМИ КОММУНИКАЦИЯМИ""";7702131247;70.22
Пиксель Плюс;"ООО ""ПИКСЕЛЬ ПЛЮС""";7715809321;62.01
Риалвеб;"ООО ""ИА РИАЛВЕБ""";7813323882;73.11
РИМ;"ЗАО ""РИМ""";3445035980;68.20.2
РУССМАРКЕТ;"ООО ""РУССМАРКЕТ""";7731420204;73.11
СимбирСофт;"АО ""СИМБИРСОФТ""";7300044805;62.01
Текарт;"ООО ""ТЕКАРТ""";7716973388;73.11
