name_checko;inn;phone;email;web;employees;name_add;segment_tag;rating_ref;source;okved_main;income_numeric
"АО ""МАК""";1655442795;;;;2.0;i-Media;full_cycle;3.0;marketing-tech.ru, dadata, checko;69.10;5300000000.0
"ООО ""ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ВОСТОК-7""";2511125050;;rachenkov-au@agro-home.ru;;2.0;Pro-Trade;btl;2.0;marketing-tech.ru, dadata, checko;10.91;1500000000.0
"ООО ""МЕДИЦИНСКИЙ КИСЛОРОД""";2631041796;;;;6.0;OXYGEN;event, full_cycle, brand;6.0;marketing-tech.ru, dadata, checko;20.11;740000000.0
;300044805;;;;;СимбирСофт;full_cycle;6.0;marketing-tech.ru, dadata, checko;62.01;2500000000.0
"ЗАО ""РИМ""";3445035980;+78442331081, +78442978498;rimvolga@mail.ru, rim_v@vistcom.ru;;2.0;РИМ;event, comm_group;2.0;marketing-tech.ru, dadata, checko;68.20.2;870900000.0
"ФОНД ""ФРОНТОВОЕ БРАТСТВО""";4000024827;;frontovoe.bratstvo@yandex.ru;;;Affect;event;5.0;marketing-tech.ru, dadata, checko;94.99;746000000.0
"ООО ""ЭВЕНТ ПРО""";5003077032;+74959596922, +74991246411, +79162859248, +74954508827;eventpro@mail.ru;http://avto-shop.su;12.0;EventPro;event;7.0;marketing-tech.ru, dadata, checko;82.30;550000000.0
"ООО ""ИНЕЛ-ДИСПЛЕЙ""";5008036720;;;https://inel-display.ru;148.0;ИНЕЛ-ДИСПЛЕЙ;merch;3.0;marketing-tech.ru, dadata, checko;31.01;804600000.0
"ООО ""АДЛАБС.РУ""";5010031832;+74962190455, +74957755145;olgak@adlabs.ru;;54.0;AdLabs;event;2.0;marketing-tech.ru, dadata, checko;62.09;900000000.0
"ООО ""МАРКЕТИНГ КОМПАС""";5501287201;+79514144899;shilaev1984@mail.ru;;;Компас-маркетинг;merch;1.0;marketing-tech.ru, dadata, checko;69.20;1200000000.0
"ООО ""ВЕБПРАКТИК""";6163109767;+78007008480, +78633032039, +78632638827, +78632212520, +78632992730;alex@webpractik.ru, info@webpractik.ru, buh@webpractik.ru;http://webpractik.ru;83.0;Вебпрактик;full_cycle;17.0;marketing-tech.ru, dadata, checko;62.09;335100000.0
"ООО ""ПР""";6163229775;;344000b@mail.ru, 316550@mail.ru;;1.0;PR Partner;comm_group;10.0;marketing-tech.ru, dadata, checko;56.10.1;1000000000.0
"ООО ""ЭВЕНТУМ-ПРЕМО""";6501245274;;;;;Eventum Premo;event;3.0;marketing-tech.ru, dadata, checko;92.34;865400000.0
;706015870;;;;;ONY;comm_group, brand;16.0;marketing-tech.ru, dadata, checko;70.10;490700000.0
"АО ""ПРТК""";716011130;;;;;PRT;comm_group;19.0;marketing-tech.ru, dadata, checko;35.30.14;275400000.0
"АО ""СИМБИРСОФТ""";7300044805;+78002009924, +79867360164;;;;;;;;;
"ООО ""МАРВЕЛОУС-АКВА""";7452120049;+79000256639, +79517850606, +73519328539, +79525059393;;http://marvelous-aqva.ru;2.0;Marvelous;btl;11.0;marketing-tech.ru, dadata, checko;46.90;201100000.0
"АО ""АРЕНА-2000""";7606028688;+74852407118, +74852407094, +74852407119, +79806576962, +74852407023;marketiing@arena.yar.ru, sekretar@arena.yar.ru, maya@arena.yar.ru, adm@arena.yar.ru, butikova@arena.yar.ru;http://arena.yar.ru;121.0;Arena;full_cycle;13.0;marketing-tech.ru, dadata, checko;93.11;749900000.0
"АО ""МИХАЙЛОВ И ПАРТНЕРЫ. УПРАВЛЕНИЕ СТРАТЕГИЧЕСКИМИ КОММУНИКАЦИЯМИ""";7702131247;+74959563973, +74959563972;vanina@m-p.ru, kriventsova@m-p.ru, moiseeva@mikh-parth.ru, secretariat@m-p.ru, tenderetp@m-p.ru;http://m-p.ru;76.0;Михайлов и партнеры;comm_group;2.0;marketing-tech.ru, dadata, checko;70.22;9300000000.0
"ООО ""ХАВАС МЕДИА""";7704205737;+74957885329, +74959337570, +74953997570;gd@havas-media.ru, reception@mpg-mediaplanning.ru;http://havas-se.com;74.0;Havas Media;comm_group;5.0;marketing-tech.ru, dadata, checko;73.11;3200000000.0
"ООО ""БЮРО 1440""";7707446530;+74954453301;info@1440.space, press@1440.space;https://1440.space;1188.0;Бюро 144;brand;7.0;marketing-tech.ru, dadata, checko;72.19;1100000000.0
"ООО ""4 ПИКСЕЛЯ +""";7708250280;+74951811619;ann@4px.ru, m@4px.ru, docs@4px.ru;http://4px.ru;22.0;4 Пикселя;full_cycle;7.0;marketing-tech.ru, dadata, checko;63.11;2200000000.0
"ООО ""ПРОМО.РУ-ИНТЕРЭКТИВ""";7709336148;;;;;Promo.ru;btl;5.0;marketing-tech.ru, dadata, checko;;700000000.0
"ООО ""ДД ВБ""";7709702027;+79037240979, +74959173117;info@directdesign.ru;http://directdesign.ru;1.0;DDVB;btl, comm_group, full_cycle, brand;2.0;marketing-tech.ru, dadata, checko;70.22;227300000.0
;7713117928;;;;;LBL;btl, comm_group, brand;1.0;marketing-tech.ru, dadata, checko;73.11;986900000.0
"ООО ""АДВЕНТУМ ОТ""";7714346014;+79509274843, +74959808016, +74993221474, +74959988661;salnikova@textime.ru, adventum.ot@list.ru, info@adventumtech.ru, kuznetzova@textime.ru;http://adventum.ru;25.0;Adventum;full_cycle;9.0;marketing-tech.ru, dadata, checko;13.30;1800000000.0
"ООО ""АРМИ-МАРКЕТИНГ БИЗНЕС""";7714856110;+74952586915, +74952586914;mail@armi-marketing.com;https://armi-marketing.com;90.0;Marketing Arm;event, comm_group;7.0;marketing-tech.ru, dadata, checko;73.20.1;604500000.0
"ООО ""ПИКСЕЛЬ ПЛЮС""";7715809321;+74959895311, +79266650254, +78007007965;oleynik@pixelplus.ru, manager@pixelplus.ru;http://pixelplus.ru;16.0;Пиксель Плюс;brand;15.0;marketing-tech.ru, dadata, checko;62.01;274000000.0
"ООО ""АМЕРИЧИП""";7715865774;+74999628380, +74956406829, +79169000272, +74959336933;re@americhip.ru, info@americhip.ru;http://americhip.ru;11.0;AMERICHIP;btl;10.0;marketing-tech.ru, dadata, checko;73.1;221700000.0
"ООО ""ТЕКАРТ""";7716973388;+79686473377;;;;Текарт;full_cycle;20.0;marketing-tech.ru, dadata, checko;73.11;293400000.0
"ООО ""ЭВЕНТ ЛАБОРАТОРИЯ""";7718820108;;;;;Event Lab;event;9.0;marketing-tech.ru, dadata, checko;93.2;350000000.0
"ООО ""ИМАР СТРОЙ""";7722495845;+79036628178;;;;iMARS;comm_group, brand;14.0;marketing-tech.ru, dadata, checko;41.20;548200000.0
"ООО ""ЗЕКСЛЕР""";7725268791;+74993918112;hr@zexler.ru;http://zexler.ru;5.0;ЗЕКСЛЕР;full_cycle;23.0;marketing-tech.ru, dadata, checko;73.11;250000000.0
"ООО ""ПРОМО ГАРАНТ""";7728887888;;;;;Гарант-Промо;btl;4.0;marketing-tech.ru, dadata, checko;82.99;800000000.0
"ООО ""РУССМАРКЕТ""";7731420204;+74951610666;sales@russ-market.ru;https://russ-market.ru;11.0;РУССМАРКЕТ;merch;2.0;marketing-tech.ru, dadata, checko;73.11;1000000000.0
"ООО ""КАПИБАРА""";7806614270;;info@capibara-plus.ru;;1.0;Капибара;event;8.0;marketing-tech.ru, dadata, checko;46.31;431800000.0
"ООО ""ИА РИАЛВЕБ""";7813323882;+78122353860, +74952290161, +78123253860;admin1.petrograd@rspb.ru, user1473@realweb.ru;http://realweb.ru;515.0;Риалвеб;full_cycle;2.0;marketing-tech.ru, dadata, checko;73.11;6100000000.0
"ООО ""МАСТЕР ИН СТРАНА""";7813604450;+74952550607, +78123131060;;http://master-in.ru;9.0;Master In;btl;8.0;marketing-tech.ru, dadata, checko;73.11;298400000.0
"ООО ""ИМАГА""";7816759363;+79219500577, +79112444401;89213050405@yandex.ru;;;Imaga;btl, event;2.0;marketing-tech.ru, dadata, checko;68.20;1200000000.0
"ООО ""МСС""";9703231294;+79031173050, +79042755458, +79266111585;;;;MediaCom;btl;1.0;marketing-tech.ru, dadata, checko;58.11;4000000000.0
"ООО ""М-ПАРК""";9705199462;+74953089474, +79651173837;m.lobzina@book-team.ru, sales@mosaic-park.ru, info@mosaic-park.ru;http://мозаика-парк.рф;16.0;Mosaic;event;9.0;marketing-tech.ru, dadata, checko;58.11;400000000.0
"ООО ""ОНИКС. ОТР""";9706015870;+79096734364;norvus8@gmail.com, kuptsova2008@yandex.ru;;3.0;;;;;;
"ООО ""СЗ БЦ АПСАЙД ОСТАНКИНО""";9715494040;+79055951555, +79207904020;s.komarova@upside.ru, st@waypark.ru;;;UPSIDE;comm_group;23.0;marketing-tech.ru, dadata, checko;71.12.2;207600000.0
"АО ""Ф.Б.С.""";9724089112;+79037121152;fbs_2013@mail.ru;;;FBS;btl;5.0;marketing-tech.ru, dadata, checko;64.99.11;600000000.0
;nan;;;;;Acosta;btl, merch;6.0;marketing-tech.ru, dadata, checko;;236000000.0
;nan;;;;;AdIndex;full_cycle;15.0;marketing-tech.ru, dadata, checko;;400000000.0
;nan;;;;;ADV Group;comm_group;3.0;marketing-tech.ru, dadata, checko;;7100000000.0
;nan;;;;;AdWatch;btl;5.0;marketing-tech.ru, dadata, checko;;500000000.0
;nan;;;;;AGT Communications;comm_group, brand;6.0;marketing-tech.ru, dadata, checko;;1100000000.0
;nan;;;;;ARK CONNECT;comm_group, full_cycle;17.0;marketing-tech.ru, dadata, checko;;398200000.0
;nan;;;;;Artox Media  Group;full_cycle;16.0;marketing-tech.ru, dadata, checko;;357100000.0
;nan;;;;;Asap ;comm_group;22.0;marketing-tech.ru, dadata, checko;;209000000.0
;nan;;;;;BBDO Moscow;comm_group;7.0;marketing-tech.ru, dadata, checko;;1900000000.0
;nan;;;;;be all bright! group;btl;7.0;marketing-tech.ru, dadata, checko;;312600000.0
;nan;;;;;Be Brand People;merch, event, comm_group, full_cycle, brand;1.0;marketing-tech.ru, dadata, checko;;933900000.0
;nan;;;;;Brandflight;brand;14.0;marketing-tech.ru, dadata, checko;;300000000.0
;nan;;;;;BrandMaker;brand;11.0;marketing-tech.ru, dadata, checko;;700000000.0
;nan;;;;;Buzz Factory;btl;2.0;marketing-tech.ru, dadata, checko;;900000000.0
;nan;;;;;CreativePeople;brand;16.0;marketing-tech.ru, dadata, checko;;253000000.0
;nan;;;;;DADA Agency;event, full_cycle, brand;9.0;marketing-tech.ru, dadata, checko;;220400000.0
;nan;;;;;DeltaClick x D Innovate Group;comm_group, full_cycle;6.0;marketing-tech.ru, dadata, checko;;3000000000.0
;nan;;;;;Demis Group;full_cycle, brand;3.0;marketing-tech.ru, dadata, checko;;1800000000.0
;nan;;;;;Dentsu Aegis Network Russia;brand;1.0;marketing-tech.ru, dadata, checko;;3700000000.0
